sample	cluster	ST	Species	Dataset	Host	Source	year
SB279407784	10	404	Escherichia coli	SB27	Human	Human	2020
SB278790886	19	69	Escherichia coli	SB27	Human	Human	2018
SB279407115	14	95	Escherichia coli	SB27	Human	Human	2019
SB278790720	13	38	Escherichia coli	SB27	Human	Human	2018
SB279408335	29	345	Escherichia coli	SB27	Beef	Animal	2019
SRR6051942	8	11	Escherichia coli	Contextual	Human	Context	2016
SB279406708	19	69	Escherichia coli	SB27	Human	Human	2019
SB279407096	21	131	Escherichia coli	SB27	Human	Human	2019
SB278790676	13	38	Escherichia coli	SB27	Human	Human	2018
SB279408068	11	4774	Escherichia coli	SB27	Pork	Animal	2019
SB278790459	2	-	Escherichia coli	SB27	Human	Human	2018
SB279407909	26	973	Escherichia coli	SB27	Turkey	Animal	2019
SB2710442231	29	2522	Escherichia coli	SB27	Beef	Animal	2019
SB278790490	23	34	Escherichia coli	SB27	Human	Human	2018
SB279406814	21	131	Escherichia coli	SB27	Human	Human	2019
SB279408817	29	533	Escherichia coli	SB27	Turkey	Animal	2020
SB279407224	28	144	Escherichia coli	SB27	Human	Human	2019
SB278791686	16	73	Escherichia coli	SB27	Human	Human	2017
SB2710442032	29	1423	Escherichia coli	SB27	Beef	Animal	2018
SRR8162703	20	56	Escherichia coli	Contextual	Bovine	Context	2017
SB279407229	26	405	Escherichia coli	SB27	Human	Human	2019
SB278791484	27	-	Escherichia coli	SB27	Turkey	Animal	2018
SB278791822	29	2726	Escherichia coli	SB27	Chicken	Animal	2018
SRR6051949	8	11	Escherichia coli	Contextual	Human	Context	2016
SRR7031340	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB278791646	4	998	Escherichia coli	SB27	Human	Human	2017
SRR10057900	7	101	Escherichia coli	Contextual	Human	Context	2017
SB279407474	19	69	Escherichia coli	SB27	Human	Human	2019
SB278791254	29	67	Escherichia coli	SB27	Beef	Animal	2018
SRR11073119	27	6	Escherichia coli	Contextual	Human	Context	2017
SB279407767	14	95	Escherichia coli	SB27	Human	Human	2020
SRR9924631	13	38	Escherichia coli	Contextual	Human	Context	2017
SB2710442393	29	6488	Escherichia coli	SB27	Beef	Animal	2019
SRR7064620	20	2025	Escherichia coli	Contextual	Bovine	Context	2017
SB2710442031	27	409	Escherichia coli	SB27	Beef	Animal	2018
SB279407817	3	12	Escherichia coli	SB27	Human	Human	2020
SB279406568	29	1844	Escherichia coli	SB27	Turkey	Animal	2018
SRR8767041	8	11	Escherichia coli	Contextual	Animal-related	Context	2017
SB2710442125	29	67	Escherichia coli	SB27	Beef	Animal	2018
SRR6459239	27	540	Escherichia coli	Contextual	Swine	Context	2017
SB279406747	14	421	Escherichia coli	SB27	Human	Human	2019
SRR6680345	28	7804	Escherichia coli	Contextual	Avian	Context	2017
SRR6796115	22	457	Escherichia coli	Contextual	Water/River	Context	2016
SB278790747	3	-	Escherichia coli	SB27	Human	Human	2017
SRR12206254	27	607	Escherichia coli	Contextual	Human	Context	2018
SB2710442870	25	2064	Escherichia coli	SB27	Pork	Animal	2020
SRR7011861	24	10	Escherichia coli	Contextual	Swine	Context	2018
SRR8270019	29	5916	Escherichia coli	Contextual	Bovine	Context	2018
SRR14138258	28	372	Escherichia coli	Contextual	Canine	Context	2017
SB278344975	12	5506	Escherichia coli	SB27	Human	Human	
SB278344676	2	127	Escherichia coli	SB27	Human	Human	
SB279408294	27	1434	Escherichia coli	SB27	Beef	Animal	2019
SB279407244	10	1193	Escherichia coli	SB27	Human	Human	2019
SB278344610	16	73	Escherichia coli	SB27	Human	Human	
SB279408891	10	1193	Escherichia coli	SB27	Human	Human	2020
SB278344843	1	349	Escherichia coli	SB27	Human	Human	
SB2710441597	29	2387	Escherichia coli	SB27	Beef	Animal	2018
SB279407210	14	95	Escherichia coli	SB27	Human	Human	2019
SB278790352	21	131	Escherichia coli	SB27	Human	Human	2018
SB2710441593	29	154	Escherichia coli	SB27	Beef	Animal	2018
SRR9984776	23	10	Escherichia coli	Contextual	Poultry	Context	2018
SB278344692	14	95	Escherichia coli	SB27	Human	Human	
SB279406889	16	73	Escherichia coli	SB27	Human	Human	2019
SB278790270	28	2554	Escherichia coli	SB27	Human	Human	2018
SRR11473230	18	-	Escherichia coli	Contextual	Poultry	Context	2016
SB279408288	29	2164	Escherichia coli	SB27	Beef	Animal	2019
SB278790278	14	95	Escherichia coli	SB27	Human	Human	2018
SB278790608	21	2279	Escherichia coli	SB27	Human	Human	2018
SB279406411	29	212	Escherichia coli	SB27	Chicken	Animal	2018
SB278790465	10	1193	Escherichia coli	SB27	Human	Human	2018
SB279408390	24	10	Escherichia coli	SB27	Pork	Animal	2019
SB279406484	25	2485	Escherichia coli	SB27	Chicken	Animal	2018
SRR7285584	8	11	Escherichia coli	Contextual	Human	Context	2018
SB2710442584	15	401	Escherichia coli	SB27	Beef	Animal	2019
SB2710442104	20	971	Escherichia coli	SB27	Pork	Animal	2018
SB2710442033	29	278	Escherichia coli	SB27	Beef	Animal	2018
SB279406416	29	1304	Escherichia coli	SB27	Chicken	Animal	2018
SB279408514	13	-	Escherichia coli	SB27	Turkey	Animal	2019
SB2710442197	29	336	Escherichia coli	SB27	Beef	Animal	2019
SB278790390	19	69	Escherichia coli	SB27	Human	Human	2018
SB2710442059	15	5308	Escherichia coli	SB27	Pork	Animal	2018
SB278790704	16	73	Escherichia coli	SB27	Human	Human	2018
SB278344571	10	1193	Escherichia coli	SB27	Human	Human	
SRR10502085	24	10	Escherichia coli	Contextual	ND/Other	Context	2017
SRR11473227	18	117	Escherichia coli	Contextual	Poultry	Context	2016
SB279407829	20	223	Escherichia coli	SB27	Beef	Animal	2019
SB278344688	21	131	Escherichia coli	SB27	Human	Human	
SB279406520	15	401	Escherichia coli	SB27	Chicken	Animal	2018
SB2710441586	27	325	Escherichia coli	SB27	Beef	Animal	2018
SRR7401658	29	442	Escherichia coli	Contextual	Human	Context	2016
SB279407133	29	2165	Escherichia coli	SB27	Human	Human	2019
SRR7497005	20	5487	Escherichia coli	Contextual	Soil/Dust	Context	2018
SB278791548	29	351	Escherichia coli	SB27	Chicken	Animal	2018
SRR12287362	22	457	Escherichia coli	Contextual	Poultry	Context	2018
SB278790910	14	95	Escherichia coli	SB27	Human	Human	2018
SRR8767537	27	1486	Escherichia coli	Contextual	Human	Context	2016
SB278344586	19	-	Escherichia coli	SB27	Human	Human	
SRR7456546	8	11	Escherichia coli	Contextual	Human	Context	2018
SB2710442389	29	2598	Escherichia coli	SB27	Beef	Animal	2019
SRR8865063	29	2521	Escherichia coli	Contextual	Canine	Context	2018
SB278344655	6	2562	Escherichia coli	SB27	Human	Human	
SB2710442979	19	69	Escherichia coli	SB27	Turkey	Animal	2020
SB278790657	16	73	Escherichia coli	SB27	Human	Human	2018
SB278790830	28	372	Escherichia coli	SB27	Human	Human	2018
SB278790744	13	963	Escherichia coli	SB27	Human	Human	2017
SB278791665	19	69	Escherichia coli	SB27	Human	Human	2017
SRR11473232	18	117	Escherichia coli	Contextual	Poultry	Context	2016
SB278791257	11	635	Escherichia coli	SB27	Chicken	Animal	2018
SB2710442028	25	-	Escherichia coli	SB27	Beef	Animal	2018
SRR11354628	13	1177	Escherichia coli	Contextual	Human	Context	2018
SB278791383	21	131	Escherichia coli	SB27	Turkey	Animal	2018
SRR14138338	22	354	Escherichia coli	Contextual	Canine	Context	2017
SRR6651218	8	8075	Escherichia coli	Contextual	ND/Other	Context	2017
SB279406966	21	131	Escherichia coli	SB27	Human	Human	2019
SB279408494	12	162	Escherichia coli	SB27	Chicken	Animal	2019
SB2710442091	11	2606	Escherichia coli	SB27	Beef	Animal	2018
SB278790615	21	131	Escherichia coli	SB27	Human	Human	2018
SB278344796	14	95	Escherichia coli	SB27	Human	Human	
SB2710442411	29	1727	Escherichia coli	SB27	Beef	Animal	2019
SB278790817	28	978	Escherichia coli	SB27	Human	Human	2018
SB2710442436	27	1434	Escherichia coli	SB27	Pork	Animal	2019
SB279408064	20	155	Escherichia coli	SB27	Turkey	Animal	2019
SB278344943	23	10	Escherichia coli	SB27	Human	Human	
SB278791661	14	95	Escherichia coli	SB27	Human	Human	2017
SB278344491	21	131	Escherichia coli	SB27	Human	Human	
SRR7191713	29	4748	Escherichia coli	Contextual	Human	Context	2018
SB278791600	17	429	Escherichia coli	SB27	Turkey	Animal	2018
SB2710442328	27	540	Escherichia coli	SB27	Pork	Animal	2019
SRR7265951	8	11	Escherichia coli	Contextual	Human	Context	2017
SRR7690510	20	56	Escherichia coli	Contextual	Bovine	Context	2017
SB279407311	20	-	Escherichia coli	SB27	Human	Human	2019
SB2710442392	18	117	Escherichia coli	SB27	Beef	Animal	2019
SRR7458244	26	8357	Escherichia coli	Contextual	Bovine	Context	2018
SB278790502	16	73	Escherichia coli	SB27	Human	Human	2018
SRR5970423	29	5960	Escherichia coli	Contextual	Water/River	Context	2017
SB278790274	4	998	Escherichia coli	SB27	Human	Human	2018
SB279407205	26	68	Escherichia coli	SB27	Human	Human	2019
SB278791515	29	-	Escherichia coli	SB27	Turkey	Animal	2018
SB279407857	29	224	Escherichia coli	SB27	Turkey	Animal	2019
SRR7474046	8	8345	Escherichia coli	Contextual	Human	Context	2018
SB279406842	21	131	Escherichia coli	SB27	Human	Human	2019
SB2710442961	17	1236	Escherichia coli	SB27	Turkey	Animal	2020
SB278790764	19	69	Escherichia coli	SB27	Human	Human	2018
SRR11094222	16	73	Escherichia coli	Contextual	Human	Context	2018
SB2710441588	25	8852	Escherichia coli	SB27	Beef	Animal	2018
SB279406893	19	69	Escherichia coli	SB27	Human	Human	2019
SB2710441581	11	399	Escherichia coli	SB27	Beef	Animal	2018
SRR7724571	23	10	Escherichia coli	Contextual	Avian	Context	2017
SB279406689	19	69	Escherichia coli	SB27	Human	Human	2019
SRR8050360	8	11	Escherichia coli	Contextual	Bovine	Context	2018
SB278791687	21	131	Escherichia coli	SB27	Human	Human	2017
SB278790803	21	131	Escherichia coli	SB27	Human	Human	2018
SRR14995790	29	5559	Escherichia coli	Contextual	Soil/Dust	Context	2016
SB278790297	19	69	Escherichia coli	SB27	Human	Human	2018
SB2710442349	29	295	Escherichia coli	SB27	Beef	Animal	2019
SB2710441916	29	2522	Escherichia coli	SB27	Beef	Animal	2018
SB2710441992	7	101	Escherichia coli	SB27	Beef	Animal	2018
SB2710442658	27	5784	Escherichia coli	SB27	Pork	Animal	2019
SB278790559	3	12	Escherichia coli	SB27	Human	Human	2018
SB279407065	23	10	Escherichia coli	SB27	Human	Human	2019
SB278791236	29	1167	Escherichia coli	SB27	Turkey	Animal	2018
SB279407814	7	101	Escherichia coli	SB27	Human	Human	2020
SB278790359	16	-	Escherichia coli	SB27	Human	Human	2018
SRR12206237	24	6836	Escherichia coli	Contextual	Poultry	Context	2018
SRR12206251	29	295	Escherichia coli	Contextual	Human	Context	2018
SB279408803	29	1844	Escherichia coli	SB27	Turkey	Animal	2020
SB278790769	1	349	Escherichia coli	SB27	Human	Human	2018
SB279406470	9	23	Escherichia coli	SB27	Chicken	Animal	2018
SB278791578	19	69	Escherichia coli	SB27	Turkey	Animal	2018
SB279407242	19	69	Escherichia coli	SB27	Human	Human	2019
SB279406436	29	602	Escherichia coli	SB27	Chicken	Animal	2018
SB279407944	29	109	Escherichia coli	SB27	Beef	Animal	2019
SB279406485	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB279406493	15	5308	Escherichia coli	SB27	Chicken	Animal	2018
SB2710442178	29	345	Escherichia coli	SB27	Beef	Animal	2019
SRR4048285	8	11	Escherichia coli	Contextual	Bovine	Context	2016
SB2710442185	29	-	Escherichia coli	SB27	Beef	Animal	2019
SRR4271483	21	131	Escherichia coli	Contextual	Human	Context	2016
SB278344752	7	101	Escherichia coli	SB27	Human	Human	
SB278790422	19	69	Escherichia coli	SB27	Human	Human	2018
SB278791746	22	5340	Escherichia coli	SB27	Turkey	Animal	2018
SB278791212	24	10	Escherichia coli	SB27	Chicken	Animal	2018
SRR14861818	27	540	Escherichia coli	Contextual	Human	Context	2016
SB279407021	10	1193	Escherichia coli	SB27	Human	Human	2019
SB278344892	14	2619	Escherichia coli	SB27	Human	Human	
SB279406892	10	1193	Escherichia coli	SB27	Human	Human	2019
SB279406704	28	5575	Escherichia coli	SB27	Human	Human	2019
SRR12206269	23	10	Escherichia coli	Contextual	Human	Context	2018
SRR7292644	8	11	Escherichia coli	Contextual	Human	Context	2018
SB278344675	21	131	Escherichia coli	SB27	Human	Human	
SRR9984709	27	2253	Escherichia coli	Contextual	Poultry	Context	2018
SRR7229687	9	88	Escherichia coli	Contextual	ND/Other	Context	2017
SB279408581	21	131	Escherichia coli	SB27	Chicken	Animal	2019
SRR7403658	29	765	Escherichia coli	Contextual	Soil/Dust	Context	2018
SB2710442069	29	2328	Escherichia coli	SB27	Beef	Animal	2018
SRR7638034	23	10	Escherichia coli	Contextual	Bovine	Context	2017
SB278344699	14	95	Escherichia coli	SB27	Human	Human	
SB278791792	13	38	Escherichia coli	SB27	Chicken	Animal	2018
SB279407280	21	131	Escherichia coli	SB27	Human	Human	2019
SRR9586713	16	73	Escherichia coli	Contextual	Avian	Context	2018
SB278790405	26	394	Escherichia coli	SB27	Human	Human	2018
SB279406474	28	491	Escherichia coli	SB27	Turkey	Animal	2018
SB2710196273	18	117	Escherichia coli	SB27	Chicken	Animal	2021
SB279408786	4	141	Escherichia coli	SB27	Turkey	Animal	2020
SB278344630	21	131	Escherichia coli	SB27	Human	Human	
SB279407858	4	141	Escherichia coli	SB27	Turkey	Animal	2019
SB279408057	20	155	Escherichia coli	SB27	Chicken	Animal	2019
SRR11094167	22	1722	Escherichia coli	Contextual	Human	Context	2018
SB278344673	19	69	Escherichia coli	SB27	Human	Human	
SB2710442255	29	-	Escherichia coli	SB27	Beef	Animal	2019
SRR11473279	14	95	Escherichia coli	Contextual	Poultry	Context	2017
SRR7031330	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB278791393	15	6069	Escherichia coli	SB27	Chicken	Animal	2018
SB279408166	29	297	Escherichia coli	SB27	Beef	Animal	2019
SB278790483	3	12	Escherichia coli	SB27	Human	Human	2018
SB279407841	15	401	Escherichia coli	SB27	Beef	Animal	2019
SRR7285549	29	16	Escherichia coli	Contextual	Human	Context	2018
SB279407300	16	73	Escherichia coli	SB27	Human	Human	2019
SRR9172063	9	88	Escherichia coli	Contextual	Bovine	Context	2017
SRR7286546	8	11	Escherichia coli	Contextual	Human	Context	2017
SB278791799	1	349	Escherichia coli	SB27	Chicken	Animal	2018
SB2710442220	29	156	Escherichia coli	SB27	Beef	Animal	2019
SRR10310415	26	393	Escherichia coli	Contextual	Human	Context	2016
SRR9924638	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278791426	29	345	Escherichia coli	SB27	Turkey	Animal	2018
SB279407886	29	2328	Escherichia coli	SB27	Turkey	Animal	2019
SB2710441884	29	3234	Escherichia coli	SB27	Beef	Animal	2021
SRR7754564	29	446	Escherichia coli	Contextual	Bovine	Context	2018
SRR14993606	12	162	Escherichia coli	Contextual	Bovine	Context	2016
SB278791276	23	10	Escherichia coli	SB27	Turkey	Animal	2018
SB279408323	23	10	Escherichia coli	SB27	Turkey	Animal	2019
SRR8202300	27	93	Escherichia coli	Contextual	Swine	Context	2018
SB278791520	29	602	Escherichia coli	SB27	Beef	Animal	2018
SB279407854	24	8712	Escherichia coli	SB27	Beef	Animal	2019
SB278790377	16	73	Escherichia coli	SB27	Human	Human	2018
SRR5970425	29	5973	Escherichia coli	Contextual	Water/River	Context	2017
SB278344989	21	131	Escherichia coli	SB27	Human	Human	
SRR11473222	14	95	Escherichia coli	Contextual	Poultry	Context	2016
SB278791421	1	349	Escherichia coli	SB27	Turkey	Animal	2018
SB278791502	17	1385	Escherichia coli	SB27	Turkey	Animal	2018
SB279406427	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB279407391	10	1193	Escherichia coli	SB27	Human	Human	2019
SB279406851	2	127	Escherichia coli	SB27	Human	Human	2019
SB279408477	17	1385	Escherichia coli	SB27	Turkey	Animal	2019
SB279408505	29	1844	Escherichia coli	SB27	Chicken	Animal	2019
SRR8162696	24	10	Escherichia coli	Contextual	Bovine	Context	2017
SB279408119	29	109	Escherichia coli	SB27	Beef	Animal	2019
SB278791564	16	1618	Escherichia coli	SB27	Turkey	Animal	2018
SB278791556	28	135	Escherichia coli	SB27	Turkey	Animal	2018
SRR12206246	28	452	Escherichia coli	Contextual	Human	Context	2018
SB279407307	28	680	Escherichia coli	SB27	Human	Human	2019
SRR3742247	8	11	Escherichia coli	Contextual	Human	Context	2016
SRR6683719	13	38	Escherichia coli	Contextual	Avian	Context	2017
SB279406460	23	10	Escherichia coli	SB27	Chicken	Animal	2018
SB279407416	17	1236	Escherichia coli	SB27	Human	Human	2019
SB279407267	19	69	Escherichia coli	SB27	Human	Human	2019
SRR4787428	8	11	Escherichia coli	Contextual	Human	Context	2016
SB278791378	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB278790271	10	1193	Escherichia coli	SB27	Human	Human	2018
SB279407170	28	491	Escherichia coli	SB27	Human	Human	2019
SB279408914	2	6092	Escherichia coli	SB27	Human	Human	2020
SB279407768	29	-	Escherichia coli	SB27	Human	Human	2020
SB278790508	16	73	Escherichia coli	SB27	Human	Human	2018
SB278790593	14	95	Escherichia coli	SB27	Human	Human	2018
SB278344663	17	357	Escherichia coli	SB27	Human	Human	
SB278791435	7	101	Escherichia coli	SB27	Beef	Animal	2018
SB2710442080	7	101	Escherichia coli	SB27	Pork	Animal	2018
SB279407317	16	73	Escherichia coli	SB27	Human	Human	2019
SB278791319	29	345	Escherichia coli	SB27	Turkey	Animal	2018
SRR12206233	24	1112	Escherichia coli	Contextual	Poultry	Context	2018
SRR7638088	20	56	Escherichia coli	Contextual	Bovine	Context	2017
SB279407763	2	127	Escherichia coli	SB27	Human	Human	2020
SB279407012	29	453	Escherichia coli	SB27	Human	Human	2019
SRR12206249	29	-	Escherichia coli	Contextual	Human	Context	2018
SRR4897554	8	11	Escherichia coli	Contextual	Human	Context	2016
SB279408701	29	5378	Escherichia coli	SB27	Pork	Animal	2020
SRR9924605	13	38	Escherichia coli	Contextual	Human	Context	2017
SRR10310408	29	1196	Escherichia coli	Contextual	Human	Context	2017
SB279406764	19	69	Escherichia coli	SB27	Human	Human	2019
SRR11073117	27	6	Escherichia coli	Contextual	Human	Context	2018
SRR7789456	29	1727	Escherichia coli	Contextual	Bovine	Context	2018
SB279407760	29	224	Escherichia coli	SB27	Human	Human	2019
SB278344760	14	95	Escherichia coli	SB27	Human	Human	
SB278791813	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB2710442442	20	56	Escherichia coli	SB27	Pork	Animal	2019
SB279406844	4	998	Escherichia coli	SB27	Human	Human	2019
SB2710441612	29	297	Escherichia coli	SB27	Beef	Animal	2018
SB279407442	16	73	Escherichia coli	SB27	Human	Human	2019
SB279406922	16	73	Escherichia coli	SB27	Human	Human	2019
SRR3953327	29	1792	Escherichia coli	Contextual	Bovine	Context	2016
SRR11550953	23	10	Escherichia coli	Contextual	Bovine	Context	2016
SRR7456549	29	442	Escherichia coli	Contextual	Human	Context	2018
SB278790358	16	73	Escherichia coli	SB27	Human	Human	2018
SB279408715	19	69	Escherichia coli	SB27	Turkey	Animal	2020
SB278791394	20	223	Escherichia coli	SB27	Pork	Animal	2018
SRR12206264	23	10	Escherichia coli	Contextual	Poultry	Context	2018
SB2710441831	29	906	Escherichia coli	SB27	Turkey	Animal	2021
SB279407966	7	101	Escherichia coli	SB27	Beef	Animal	2019
SB278790690	10	1193	Escherichia coli	SB27	Human	Human	2018
SRR7647877	20	58	Escherichia coli	Contextual	Bovine	Context	2017
SB279408272	29	1844	Escherichia coli	SB27	Turkey	Animal	2019
SRR9651972	29	5419	Escherichia coli	Contextual	Avian	Context	2016
SB278791186	29	345	Escherichia coli	SB27	Turkey	Animal	2018
SB279408091	20	58	Escherichia coli	SB27	Turkey	Animal	2019
SB2710441883	29	3234	Escherichia coli	SB27	Beef	Animal	2021
SRR8236480	29	1079	Escherichia coli	Contextual	Bovine	Context	2018
SRR9924624	13	38	Escherichia coli	Contextual	Human	Context	2017
SB279407987	12	162	Escherichia coli	SB27	Turkey	Animal	2019
SB279408062	20	155	Escherichia coli	SB27	Beef	Animal	2019
SRR7724604	24	450	Escherichia coli	Contextual	Avian	Context	2017
SB279407941	11	399	Escherichia coli	SB27	Pork	Animal	2019
SB278790740	14	95	Escherichia coli	SB27	Human	Human	2017
SB278791680	14	2619	Escherichia coli	SB27	Human	Human	2017
SRR6208288	23	43	Escherichia coli	Contextual	Plant	Context	2017
SB279407029	10	1193	Escherichia coli	SB27	Human	Human	2019
SRR5767274	25	7484	Escherichia coli	Contextual	Swine	Context	2017
SB279407089	2	127	Escherichia coli	SB27	Human	Human	2019
SB279407235	19	69	Escherichia coli	SB27	Human	Human	2019
SRR8381491	29	345	Escherichia coli	Contextual	Poultry	Context	2018
SB279406535	12	3580	Escherichia coli	SB27	Turkey	Animal	2018
SB2710441461	7	101	Escherichia coli	SB27	Pork	Animal	2021
SB279406498	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB279406490	23	10	Escherichia coli	SB27	Chicken	Animal	2018
SB279408072	28	6949	Escherichia coli	SB27	Turkey	Animal	2019
SB279406557	12	3580	Escherichia coli	SB27	Turkey	Animal	2018
SB278790904	2	127	Escherichia coli	SB27	Human	Human	2018
SB279406824	19	69	Escherichia coli	SB27	Human	Human	2019
SB2710441958	12	4360	Escherichia coli	SB27	Beef	Animal	2018
SB279408533	27	515	Escherichia coli	SB27	Beef	Animal	2019
SRR7229584	9	88	Escherichia coli	Contextual	Bovine	Context	2017
SB279407955	18	117	Escherichia coli	SB27	Turkey	Animal	2019
SB2710442358	29	1665	Escherichia coli	SB27	Beef	Animal	2019
SB2710442394	29	602	Escherichia coli	SB27	Beef	Animal	2019
SB278790325	10	404	Escherichia coli	SB27	Human	Human	2018
SRR6682089	20	1049	Escherichia coli	Contextual	Avian	Context	2017
SB279407843	23	10	Escherichia coli	SB27	Turkey	Animal	2019
SB279408521	29	3090	Escherichia coli	SB27	Beef	Animal	2019
SB278791085	10	1193	Escherichia coli	SB27	Human	Human	2018
SB279407312	29	1148	Escherichia coli	SB27	Human	Human	2019
SB279407930	18	117	Escherichia coli	SB27	Turkey	Animal	2019
SB278791286	29	2144	Escherichia coli	SB27	Beef	Animal	2018
SB278345005	21	131	Escherichia coli	SB27	Human	Human	
SB278344721	22	62	Escherichia coli	SB27	Human	Human	
SRR10383459	20	-	Escherichia coli	Contextual	Human	Context	2017
SB278790649	5	420	Escherichia coli	SB27	Human	Human	2018
SB278344557	14	95	Escherichia coli	SB27	Human	Human	
SB278345015	29	1665	Escherichia coli	SB27	Human	Human	
SRR10002670	29	17	Escherichia coli	Contextual	Human	Context	2018
SB278790406	2	127	Escherichia coli	SB27	Human	Human	2018
SB279407399	29	297	Escherichia coli	SB27	Human	Human	2019
SB279408010	17	1385	Escherichia coli	SB27	Turkey	Animal	2019
SB278791770	7	101	Escherichia coli	SB27	Chicken	Animal	2018
SB2710442266	25	-	Escherichia coli	SB27	Beef	Animal	2019
SB278791256	15	6069	Escherichia coli	SB27	Chicken	Animal	2018
SB2710443032	25	799	Escherichia coli	SB27	Pork	Animal	2020
SRR9172119	20	56	Escherichia coli	Contextual	Bovine	Context	2017
SB2710442009	29	-	Escherichia coli	SB27	Beef	Animal	2018
SB2710441511	29	5901	Escherichia coli	SB27	Beef	Animal	2021
SB278344650	10	1193	Escherichia coli	SB27	Human	Human	
SB278344686	28	372	Escherichia coli	SB27	Human	Human	
SB278791591	15	401	Escherichia coli	SB27	Chicken	Animal	2018
SB278790807	10	1193	Escherichia coli	SB27	Human	Human	2018
SB2710443025	15	401	Escherichia coli	SB27	Pork	Animal	2020
SB2710442035	29	7870	Escherichia coli	SB27	Beef	Animal	2018
SB278344480	29	1304	Escherichia coli	SB27	Human	Human	
SB278791519	20	58	Escherichia coli	SB27	Beef	Animal	2018
SB279407337	16	73	Escherichia coli	SB27	Human	Human	2019
SB279407965	29	345	Escherichia coli	SB27	Pork	Animal	2019
SB278790426	29	205	Escherichia coli	SB27	Human	Human	2018
SB2710442211	29	1071	Escherichia coli	SB27	Beef	Animal	2019
SRR7724592	22	4553	Escherichia coli	Contextual	Avian	Context	2017
SB278790451	2	127	Escherichia coli	SB27	Human	Human	2018
SRR4788179	8	335	Escherichia coli	Contextual	Human	Context	2017
SB2710442671	27	1434	Escherichia coli	SB27	Beef	Animal	2019
SB279407067	17	555	Escherichia coli	SB27	Human	Human	2019
SB278790555	19	69	Escherichia coli	SB27	Human	Human	2018
SB279408508	20	155	Escherichia coli	SB27	Chicken	Animal	2019
SB278791809	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB2710443046	27	1434	Escherichia coli	SB27	Pork	Animal	2020
SRR7358309	29	33	Escherichia coli	Contextual	Human	Context	2018
SB278344758	2	127	Escherichia coli	SB27	Human	Human	
SRR13209803	29	33	Escherichia coli	Contextual	Human	Context	2018
SB2710441704	27	6032	Escherichia coli	SB27	Turkey	Animal	2019
SB278790556	19	69	Escherichia coli	SB27	Human	Human	2018
SB278790848	22	62	Escherichia coli	SB27	Human	Human	2018
SB278344617	16	73	Escherichia coli	SB27	Human	Human	
SRR12206295	28	-	Escherichia coli	Contextual	Human	Context	2018
SRR8767520	23	34	Escherichia coli	Contextual	Human	Context	2016
SB278790882	23	44	Escherichia coli	SB27	Human	Human	2018
SB278790421	21	131	Escherichia coli	SB27	Human	Human	2018
SB278790225	10	404	Escherichia coli	SB27	Human	Human	2018
SB279407770	14	95	Escherichia coli	SB27	Human	Human	2020
SB278790489	28	372	Escherichia coli	SB27	Human	Human	2018
SB279408519	9	88	Escherichia coli	SB27	Chicken	Animal	2019
SB2710442021	29	345	Escherichia coli	SB27	Pork	Animal	2018
SB278790936	2	127	Escherichia coli	SB27	Human	Human	2018
SRR10310397	22	354	Escherichia coli	Contextual	Human	Context	2018
SB278344907	1	349	Escherichia coli	SB27	Human	Human	
SB278791814	29	602	Escherichia coli	SB27	Chicken	Animal	2018
SB278790461	21	131	Escherichia coli	SB27	Human	Human	2018
SB279408073	27	10634	Escherichia coli	SB27	Turkey	Animal	2019
SRR10536656	17	538	Escherichia coli	Contextual	Water/River	Context	2018
SB278791720	23	167	Escherichia coli	SB27	Human	Human	2017
SB279408751	20	58	Escherichia coli	SB27	Chicken	Animal	2020
SB278344665	16	73	Escherichia coli	SB27	Human	Human	
SB279407284	19	69	Escherichia coli	SB27	Human	Human	2019
SB278790512	28	2015	Escherichia coli	SB27	Human	Human	2018
SB279406845	19	69	Escherichia coli	SB27	Human	Human	2019
SRR6680350	28	7804	Escherichia coli	Contextual	Avian	Context	2017
SB279408381	29	1248	Escherichia coli	SB27	Chicken	Animal	2019
SB2710441616	11	399	Escherichia coli	SB27	Beef	Animal	2018
SB279407154	16	73	Escherichia coli	SB27	Human	Human	2019
SB2710442984	29	-	Escherichia coli	SB27	Turkey	Animal	2020
SRR12206231	22	648	Escherichia coli	Contextual	Poultry	Context	2018
SB279408080	28	135	Escherichia coli	SB27	Turkey	Animal	2019
SB279407907	12	162	Escherichia coli	SB27	Beef	Animal	2019
SRR9924626	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278790343	1	349	Escherichia coli	SB27	Human	Human	2018
SB2710441965	29	5378	Escherichia coli	SB27	Pork	Animal	2018
SRR7724649	21	131	Escherichia coli	Contextual	Avian	Context	2017
SB278344637	16	73	Escherichia coli	SB27	Human	Human	
SRR9924620	13	38	Escherichia coli	Contextual	Human	Context	2017
SB279406837	14	95	Escherichia coli	SB27	Human	Human	2019
